"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"AGRO3","2003","2015","Consumo não cíclico",913039,325211,81812,774823,-5871,100097,634576,69155,45803,22031,0.00811
"AGRO3","2003","2016","Consumo não cíclico",820751,253234,122874,656429,2566,62719,601443,6141,1642,11432,0.01934
"AGRO3","2003","2017","Consumo não cíclico",920309,209348,145050,693770,-34301,174598,673603,48313,31637,60349,0.01863
"BRKM5","482","2015","Materiais básicos",59961294,17498487,16682229,2022596,8125397,47282996,16690447,4559685,3140311,10380910,0.75458
"BRKM5","482","2016","Materiais básicos",51821851,16256252,23038307,2738590,4746292,47663988,25346029,-140010,-411472,12723369,0.77051
"BRKM5","482","2017","Materiais básicos",53341550,17992328,19137732,6517851,2461620,49260594,34410051,5416713,4082990,12859846,0.80571
"BRFS3","1629","2015","Consumo não cíclico",40388014,19180049,11621113,13516777,4136660,32196601,44307621,2558268,3111170,10088909,184258
"BRFS3","1629","2016","Consumo não cíclico",42944936,18893738,12640423,11839978,1821174,33732866,38552003,-317481,-372383,7526419,142950
"BRFS3","1629","2017","Consumo não cíclico",45228481,19185523,14907874,11200211,652814,33469352,29687707,-1345500,-1125572,6904006,145488
"CAMB4","210","2015","Consumo cíclico",267560,180155,238865,707,2413,285919,37781,-25845,-28105,115538,0.00037
"CAMB4","210","2016","Consumo cíclico",224018,138148,222006,-36129,27715,276389,19275,-33257,-33351,105114,0.00029
"CAMB4","210","2017","Consumo cíclico",221653,128341,169236,6965,9133,259464,33153,8971,44731,102614,0.00014
"CCRO3","1882","2015","Bens industriais",21683494,3704623,7467459,3781828,2349825,8478865,22158119,1216343,874368,3228935,153269
"CCRO3","1882","2016","Bens industriais",24555847,4244386,7176052,3904195,4186220,9996067,28178772,2466911,1713851,3429350,134764
"CCRO3","1882","2017","Bens industriais",30612208,6424592,5912066,8159684,3339705,10560997,32623000,2711304,1797466,3939581,162768
"CCXC3","2018","2015","Materiais básicos",486144,484607,205353,280854,-28538,0,54950,-13177,-13584,0,0.00963
"CCXC3","2018","2016","Materiais básicos",36664,36660,66028,-29271,5729,0,24668,1019,-302705,0,0.00726
"CCXC3","2018","2017","Materiais básicos",19545,19545,57402,-37763,-12434,0,10718,-4213,-5855,0,0.00266
